Rnd,Pick,Team,Player Name,Pos,Age,To (year they play to),AP1,PB,ST,CarAV,DrAV,G,Cmp (passing),Att (passing),Yds (passing),Tds (passing),Int (passing),Att (rushing),Yds (rushing),TD (rushing),Rec (receiving),Yds (receiving),TD (receiving),Tkl (solo),Int,Sk,College,Draft Year
1,1,NWE,Drew Bledsoe,QB,21,2006,0,4,12,103,71,194,3839,6717,44611,251,206,385,764,10,1,-9,0,null,null,null,Washington St.,1993
1,2,SEA,Rick Mirer,QB,23,2003,0,0,5,32,27,80,1088,2043,11969,50,76,242,1130,9,0,0,0,null,null,null,Notre Dame,1993
1,3,PHO,Garrison Hearst,RB,22,2004,0,2,7,71,7,126,2,4,26,1,1,1831,7966,30,229,2065,9,null,null,null,Georgia,1993
1,4,NYJ,Marvin Jones,LB,21,2003,0,0,9,52,52,142,0,0,0,0,0,0,0,0,0,0,0,null,5,9.0,Florida St.,1993
1,5,CIN,John Copeland,DE,22,2000,0,0,6,38,38,107,0,0,0,0,0,0,0,0,0,0,0,null,3,24.0,Alabama,1993
1,6,TAM,Eric Curry,DE,23,1999,0,0,3,19,18,75,0,0,0,0,0,0,0,0,0,0,0,null,null,12.5,Alabama,1993
1,7,CHI,Curtis Conway,WR,22,2004,0,0,9,61,36,167,2,5,56,2,0,50,465,3,594,8230,52,null,null,null,USC,1993
1,8,NOR,Willie Roaf HOF,T,23,2005,4,11,12,107,62,189,0,0,0,0,0,0,0,0,0,0,0,null,null,null,Louisiana Tech,1993
1,9,ATL,Lincoln Kennedy,T,22,2003,1,3,9,76,9,169,0,0,0,0,0,0,0,0,0,0,0,null,null,null,Washington,1993
1,10,RAM,Jerome Bettis HOF,RB,21,2005,2,6,11,80,19,192,3,6,63,3,1,3479,13662,91,200,1449,3,null,null,null,Notre Dame,1993
1,11,DEN,Dan Williams,DE,23,2000,0,0,2,31,15,87,0,0,0,0,0,0,0,0,0,0,0,null,1,27.0,Toledo,1993
1,12,RAI,Patrick Bates,DB,22,1996,0,0,1,8,5,44,0,0,0,0,0,0,0,0,0,0,0,null,1,null,Texas A&M,1993
1,13,HOU,Brad Hopkins,T,23,2005,0,2,13,70,70,194,0,0,0,0,0,0,0,0,0,0,0,null,null,null,Illinois,1993
1,14,CLE,Steve Everitt,C,23,2000,0,0,6,36,19,103,0,0,0,0,0,0,0,0,0,0,0,null,null,null,Michigan,1993
1,15,GNB,Wayne Simmons,LB,23,1998,0,0,4,32,24,90,0,0,0,0,0,0,0,0,0,0,0,null,3,11.5,Clemson,1993
1,16,IND,Sean Dawkins,WR,22,2001,0,0,6,48,28,140,0,0,0,0,0,0,0,0,445,6291,25,null,null,null,California,1993
1,17,WAS,Tom Carter,DB,21,2001,0,0,6,35,22,118,0,0,0,0,0,0,0,0,0,0,0,null,27,null,Notre Dame,1993
1,18,PHO,Ernest Dye,T,22,1997,0,0,2,10,10,50,0,0,0,0,0,0,0,0,0,0,0,null,null,null,South Carolina,1993
1,19,PHI,Lester Holmes,G,23,2000,0,0,6,38,17,102,0,0,0,0,0,0,0,0,0,0,0,null,null,null,Jackson St.,1993
1,20,NOR,Irv Smith,TE,21,1999,0,0,5,14,10,95,0,0,0,0,0,0,0,0,183,1788,15,null,null,null,Notre Dame,1993
1,21,MIN,Robert Smith,RB,21,2000,0,2,6,61,61,98,0,0,0,0,0,1411,6818,32,178,1292,6,null,null,null,Ohio St.,1993
1,22,SDG,Darrien Gordon,DB,22,2002,0,0,3,44,15,138,0,0,0,0,0,0,0,0,0,0,0,null,19,5.0,Stanford,1993
1,23,PIT,Deon Figures,DB,23,1998,0,0,2,20,12,93,0,0,0,0,0,0,0,0,0,0,0,null,9,1.0,Colorado,1993
1,24,PHI,Leonard Renfro,DT,23,1994,0,0,0,3,3,23,0,0,0,0,0,0,0,0,0,0,0,null,null,null,Colorado,1993
1,25,MIA,O.J. McDuffie,WR,23,2000,0,0,5,44,44,116,0,0,0,0,0,15,49,0,415,5074,29,null,null,null,Penn St.,1993
1,26,SFO,Dana Stubblefield,DT,22,2003,1,3,9,72,57,154,0,0,0,0,0,0,0,0,0,0,0,null,2,53.5,Kansas,1993
1,27,SFO,Todd Kelly,LB,22,1996,0,0,0,5,4,45,0,0,0,0,0,0,0,0,0,0,0,null,null,5.5,Tennessee,1993
1,28,BUF,Thomas Smith,DB,22,2001,0,0,7,43,39,137,0,0,0,0,0,0,0,0,0,0,0,null,6,null,North Carolina,1993
1,29,GNB,George Teague,DB,22,2001,0,0,6,38,19,133,0,0,0,0,0,0,0,0,0,0,0,null,15,2.0,Alabama,1993
2,30,SEA,Carlton Gray,DB,22,2000,0,0,4,24,18,102,0,0,0,0,0,0,0,0,0,0,0,null,12,2.0,UCLA,1993
