Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Tkl,Int,Sk,College/Univ,Year
2,34,NYG,Will Hernandez,G,23,2018,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,Texas-El Paso,2018
2,35,CLE,Nick Chubb,RB,22,2018,0,0,0,0,0,2,0,0,0,0,0,5,35,0,0,0,0,,,,Georgia,2018
2,36,IND,Darius Leonard,LB,23,2018,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,21,,1,South Carolina St.,2018
2,37,IND,Braden Smith,G,22,2018,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,Auburn,2018
2,38,TAM,Ronald Jones,RB,21,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,USC,2018
2,39,CHI,James Daniels,C,20,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,Iowa,2018
2,40,DEN,Courtland Sutton,WR,22,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,54,0,,,,SMU,2018
2,41,TEN,Harold Landry,OLB,22,2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,Boston Col.,2018
2,42,MIA,Mike Gesicki,TE,22,2018,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,11,0,,,,Penn St.,2018
2,43,DET,Kerryon Johnson,RB,21,2018,0,0,0,0,0,2,0,0,0,0,0,13,60,0,8,43,0,,,,Auburn,2018
2,44,SFO,Dante Pettis,WR,22,2018,0,0,1,0,0,2,0,0,0,0,0,0,0,0,3,96,1,,,,Washington,2018
2,45,GNB,Josh Jackson,CB,22,2018,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,,,Iowa,2018
2,46,KAN,Breeland Speaks,DE,22,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,Mississippi,2018
2,47,ARI,Christian Kirk,WR,21,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,31,0,,,,Texas A&M,2018
2,48,LAC,Uchenna Nwosu,OLB,21,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,,1,USC,2018
2,49,PHI,Dallas Goedert,TE,23,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,4,0,,,,South Dakota St.,2018
2,50,DAL,Connor Williams,T,21,2018,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,Texas,2018
2,51,CHI,Anthony Miller,WR,23,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,25,1,,,,Memphis,2018
2,52,IND,Kemoko Turay,OLB,23,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,,,Rutgers,2018
2,53,TAM,M.J. Stewart,CB,22,2018,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,,,North Carolina,2018
2,54,CIN,Jessie Bates,S,21,2018,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,11,1,,Wake Forest,2018
2,55,CAR,Donte Jackson,CB,22,2018,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10,1,,LSU,2018
2,56,NWE,Duke Dawson,CB,21,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Florida,2018
2,57,OAK,P.J. Hall,DT,23,2018,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,,,Sam Houston St.,2018
2,58,ATL,Isaiah Oliver,CB,21,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Colorado,2018
2,59,WAS,Derrius Guice,RB,21,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,LSU,2018
2,60,PIT,James Washington,WR,22,2018,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,14,1,,,,Oklahoma St.,2018
2,61,JAX,DJ Chark,WR,21,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,13,0,,,,LSU,2018
2,62,MIN,Brian O'Neill,T,22,2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,Pittsburgh,2018
2,63,TAM,Carlton Davis,CB,21,2018,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,,,Auburn,2018
2,64,IND,Tyquan Lewis,DE,23,,0,0,0,,,,,,,,,,,,,,,,,,Ohio St.,2018
3,65,OAK,Brandon Parker,T,22,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,North Carolina A&T,2018
3,66,NYG,Lorenzo Carter,DE,22,2018,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,,,Georgia,2018
3,67,CLE,Chad Thomas,DE,22,2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,Miami (FL),2018
3,68,HOU,Justin Reid,S,21,2018,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,,,Stanford,2018
3,69,NYG,B.J. Hill,DT,23,2018,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,,,North Carolina St.,2018
3,70,SFO,Fred Warner,OLB,21,2018,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,19,,,BYU,2018
3,71,DEN,Royce Freeman,RB,22,2018,0,0,1,0,0,2,0,0,0,0,0,23,99,1,0,0,0,,,,Oregon,2018
3,72,NYJ,Nathan Shepherd,DT,24,2018,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,Fort Hays St.,2018
3,73,MIA,Jerome Baker,OLB,21,2018,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,,,Ohio St.,2018
3,74,WAS,Geron Christian,T,21,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Louisville,2018
3,75,KAN,Derrick Nnadi,DT,22,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,Florida St.,2018
3,76,PIT,Mason Rudolph,QB,23,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Oklahoma St.,2018
3,77,CIN,Sam Hubbard,DE,22,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,,1,Ohio St.,2018
3,78,CIN,Malik Jefferson,OLB,21,2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,Texas,2018
3,79,SEA,Rasheem Green,DT,21,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,,,USC,2018
3,80,HOU,Martinas Rankin,T,23,2018,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,Mississippi St.,2018
3,81,DAL,Michael Gallup,WR,22,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,14,0,,,,Colorado St.,2018
3,82,DET,Tracy Walker,S,23,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,Louisiana,2018
3,83,BAL,Orlando Brown,T,22,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,Oklahoma,2018
3,84,LAC,Justin Jones,DT,23,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,,,North Carolina St.,2018
3,85,CAR,Rashaan Gaulden,CB,23,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,,,Tennessee,2018
3,86,BAL,Mark Andrews,TE,22,2018,0,0,1,0,0,2,0,0,0,0,0,0,0,0,6,48,1,,,,Oklahoma,2018
3,87,OAK,Arden Key,DE,22,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,,,LSU,2018
3,88,GNB,Oren Burks,ILB,23,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Vanderbilt,2018
3,89,LAR,Joseph Noteboom,T,23,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,TCU,2018
3,90,ATL,Deadrin Senat,DT,24,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,,,South Florida,2018
3,91,NOR,Tre'Quan Smith,WR,22,2018,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,18,0,,,,Central Florida,2018
3,92,PIT,Chukwuma Okorafor,T,21,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,West. Michigan,2018
3,93,JAX,Ronnie Harrison,S,21,2018,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,,,Alabama,2018
3,94,TAM,Alex Cappa,T,23,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Humboldt St.,2018
3,95,SFO,Tarvarius Moore,S,22,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,Southern Miss,2018
3,96,BUF,Harrison Phillips,DT,22,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,,,Stanford,2018
3,97,ARI,Mason Cole,C,22,2018,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,Michigan,2018
3,98,HOU,Jordan Akins,TE,26,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,32,0,,,,Central Florida,2018
3,99,DEN,Isaac Yiadom,CB,22,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Boston Col.,2018
3,100,KAN,Dorian O'Daniel,OLB,24,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,Clemson,2018
4,101,CAR,Ian Thomas,TE,22,2018,0,0,1,0,0,2,0,0,0,0,0,0,0,0,4,14,0,,,,Indiana,2018
4,102,MIN,Jalyn Holmes,DE,22,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Ohio St.,2018
4,103,HOU,Keke Coutee,WR,21,,0,0,0,,,,,,,,,,,,,,,,,,Texas Tech,2018
4,104,IND,Nyheim Hines,RB,21,2018,0,0,0,0,0,2,0,0,0,0,0,9,26,1,8,31,0,,,,North Carolina St.,2018
4,105,CLE,Antonio Callaway,WR,21,2018,0,0,1,0,0,2,0,0,0,0,0,2,7,0,3,81,1,,,,Florida,2018
4,106,DEN,Josey Jewell,ILB,23,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,,,Iowa,2018
4,107,NYJ,Christopher Herndon,TE,22,2018,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,30,0,,,,Miami (FL),2018
4,108,NYG,Kyle Lauletta,QB,23,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Richmond,2018
4,109,WAS,Troy Apke,S,23,2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,Penn St.,2018
4,110,OAK,Nick Nelson,CB,21,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Wisconsin,2018
4,111,LAR,Brian Allen,C,22,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,Michigan St.,2018
4,112,CIN,Mark Walton,RB,21,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Miami (FL),2018
4,113,DEN,DaeSean Hamilton,WR,23,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,Penn St.,2018
4,114,DET,Da'Shawn Hand,DE,22,2018,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,,,Alabama,2018
4,115,CHI,Joel Iyiegbuniwe,LB,22,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,West. Kentucky,2018
4,116,DAL,Dorance Armstrong,DE,21,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,Kansas,2018
4,117,TAM,Jordan Whitehead,S,21,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,,,Pittsburgh,2018
4,118,BAL,Anthony Averett,CB,23,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,,,Alabama,2018
4,119,LAC,Kyzir White,S,22,2018,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,1,,West Virginia,2018
4,120,SEA,Will Dissly,TE,22,2018,0,0,1,0,0,2,0,0,0,0,0,0,0,0,6,147,2,,,,Washington,2018
4,121,BUF,Taron Johnson,CB,22,2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,,,Weber St.,2018
4,122,BAL,Kenny Young,LB,23,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,,1,UCLA,2018
4,123,MIA,Durham Smythe,TE,22,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,Notre Dame,2018
4,124,KAN,Armani Watts,S,22,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,Texas A&M,2018
4,125,PHI,Avonte Maddox,CB,22,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,Pittsburgh,2018
4,126,ATL,Ito Smith,RB,22,2018,0,0,0,0,0,2,0,0,0,0,0,9,46,0,1,8,0,,,,Southern Miss,2018
4,127,NOR,Rick Leonard,T,21,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Florida St.,2018
4,128,SFO,Kentavius Street,DT,21,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,North Carolina St.,2018
4,129,JAX,Will Richardson,T,22,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,North Carolina St.,2018
4,130,PHI,Josh Sweat,DE,21,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Florida St.,2018
4,131,MIA,Kalen Ballage,RB,22,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Arizona St.,2018
4,132,BAL,Jaleel Scott,WR,23,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,New Mexico St.,2018
4,133,GNB,J'Mon Moore,WR,23,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Missouri,2018
4,134,ARI,Chase Edmonds,RB,22,2018,0,0,0,0,0,2,0,0,0,0,0,5,29,0,9,39,0,,,,Fordham,2018
4,135,LAR,John Franklin-Myers,DE,21,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,,,S.F. Austin,2018
4,136,CAR,Marquis Haynes,OLB,24,2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,Mississippi,2018
4,137,DAL,Dalton Schultz,TE,22,2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,Stanford,2018
5,138,GNB,Cole Madison,G,23,,0,0,0,,,,,,,,,,,,,,,,,,Washington St.,2018
5,139,NYG,R.J. McIntosh,DT,22,,0,0,0,,,,,,,,,,,,,,,,,,Miami (FL),2018
5,140,OAK,Maurice Hurst,DT,23,2018,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,,1,Michigan,2018
5,141,SEA,Shaquem Griffin,OLB,23,2018,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,,,Central Florida,2018
5,142,SFO,D.J. Reed,CB,21,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,Kansas St.,2018
5,143,NWE,Ja'Whaun Bentley,ILB,22,2018,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,,,Purdue,2018
5,144,TAM,Justin Watson,WR,23,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Pennsylvania,2018
5,145,CHI,Bilal Nichols,DT,21,2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,,,Delaware,2018
5,146,SEA,Tre Flowers,S,23,2018,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,,,Oklahoma St.,2018
5,147,LAR,Micah Kiser,ILB,23,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,Virginia,2018
5,148,PIT,Marcus Allen,S,22,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Penn St.,2018
5,149,SEA,Michael Dickson,P,22,2018,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,Texas,2018
5,150,CLE,Genard Avery,LB,23,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,,1,Memphis,2018
5,151,CIN,Davontae Harris,CB,23,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Illinois St.,2018
5,152,TEN,Dane Cruikshank,CB,23,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,66,1,,,,Arizona,2018
5,153,DET,Tyrell Crosby,T,23,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Oregon,2018
5,154,BUF,Siran Neal,CB,24,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,Jacksonville St.,2018
5,155,LAC,Scott Quessenberry,C,23,2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,UCLA,2018
5,156,DEN,Troy Fumagalli,TE,23,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Wisconsin,2018
5,157,MIN,Tyler Conklin,TE,23,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,6,0,,,,Central Michigan,2018
5,158,CIN,Andrew Brown,DE,22,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Virginia,2018
5,159,IND,Daurice Fountain,WR,22,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Northern Iowa,2018
5,160,LAR,Ogbonnia Okoronkwo,DE,23,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Oklahoma,2018
5,161,CAR,Jermaine Carter,LB,23,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,Maryland,2018
5,162,BAL,Jordan Lasley,WR,21,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,UCLA,2018
5,163,WAS,Tim Settle,DT,21,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,Virginia Tech,2018
5,164,NOR,Natrell Jamerson,S,22,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,Wisconsin,2018
5,165,PIT,Jaylen Samuels,TE,22,2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,North Carolina St.,2018
5,166,BUF,Wyatt Teller,G,23,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Virginia Tech,2018
5,167,MIN,Daniel Carlson,K,23,2018,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,Auburn,2018
5,168,SEA,Jamarco Jones,T,22,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Ohio St.,2018
5,169,IND,Jordan Wilkins,RB,24,2018,0,0,1,0,0,2,0,0,0,0,0,24,101,0,5,24,0,,,,Mississippi,2018
5,170,CIN,Darius Phillips,CB,23,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,West. Michigan,2018
5,171,DAL,Mike White,QB,23,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,West. Kentucky,2018
5,172,GNB,JK Scott,P,21,2018,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,Alabama,2018
5,173,OAK,Johnny Townsend,P,23,2018,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,Florida,2018
5,174,GNB,Marquez Valdes-Scantling,WR,23,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,3,0,,,,South Florida,2018
6,175,CLE,Damion Ratley,WR,23,2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,Texas A&M,2018
6,176,LAR,John Kelly,RB,21,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Tennessee,2018
6,177,HOU,Duke Ejiofor,DE,23,2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,,1,Wake Forest,2018
6,178,NWE,Christian Sam,ILB,22,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Arizona St.,2018
6,179,NYJ,Parry Nickerson,CB,23,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,,,Tulane,2018
6,180,NYJ,Folorunso Fatukasi,DT,23,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Connecticut,2018
6,181,CHI,Kylie Fitts,DE,23,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Utah,2018
6,182,ARI,Christian Campbell,CB,22,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Penn St.,2018
6,183,DEN,Sam Jones,G,22,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Arizona St.,2018
6,184,SFO,Marcell Harris,S,24,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Florida,2018
6,185,IND,Deon Cain,WR,22,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Clemson,2018
6,186,SEA,Jacob Martin,LB,22,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,Temple,2018
6,187,BUF,Ray-Ray McCloud,WR,21,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Clemson,2018
6,188,CLE,Simeon Thomas,CB,24,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Louisiana,2018
6,189,NOR,Kamrin Moore,CB,21,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Boston Col.,2018
6,190,BAL,DeShon Elliott,S,21,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Texas,2018
6,191,LAC,Dylan Cantrell,WR,24,,0,0,0,,,,,,,,,,,,,,,,,,Texas Tech,2018
6,192,LAR,Jamil Demby,T,22,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Maine,2018
6,193,DAL,Chris Covington,LB,22,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Indiana,2018
6,194,ATL,Russell Gage,WR,22,2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,LSU,2018
6,195,LAR,Sebastian Joseph,DT,23,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Rutgers,2018
